benchmark,run,result
max-subarray,baseline,193
max-subarray,dead_store_elimination,193
two-sum,baseline,98
two-sum,dead_store_elimination,98
csrmv,baseline,121202
csrmv,dead_store_elimination,121202
sieve,baseline,3482
sieve,dead_store_elimination,3482
eight-queens,baseline,1006454
eight-queens,dead_store_elimination,1006454
primitive-root,baseline,11029
primitive-root,dead_store_elimination,11029
quickselect,baseline,279
quickselect,dead_store_elimination,279
fib,baseline,121
fib,dead_store_elimination,121
quicksort,baseline,264
quicksort,dead_store_elimination,264
mat-mul,baseline,1990407
mat-mul,dead_store_elimination,1990407
vsmul,baseline,86036
vsmul,dead_store_elimination,86036
dot-product,baseline,88
dot-product,dead_store_elimination,88
adler32,baseline,6851
adler32,dead_store_elimination,6851
adj2csr,baseline,56629
adj2csr,dead_store_elimination,56629
bubblesort,baseline,253
bubblesort,dead_store_elimination,253
quicksort-hoare,baseline,27333
quicksort-hoare,dead_store_elimination,27333
binary-search,baseline,78
binary-search,dead_store_elimination,78
major-elm,baseline,47
major-elm,dead_store_elimination,47
dead-branch,baseline,1196
dead-branch,dead_store_elimination,1196
function_call,baseline,59809726
function_call,dead_store_elimination,59809726
cholesky,baseline,3761
cholesky,dead_store_elimination,3761
mat-inv,baseline,1044
mat-inv,dead_store_elimination,1044
n_root,baseline,733
n_root,dead_store_elimination,733
newton,baseline,217
newton,dead_store_elimination,217
ray-sphere-intersection,baseline,142
ray-sphere-intersection,dead_store_elimination,142
pow,baseline,36
pow,dead_store_elimination,36
cordic,baseline,517
cordic,dead_store_elimination,517
norm,baseline,505
norm,dead_store_elimination,505
conjugate-gradient,baseline,1999
conjugate-gradient,dead_store_elimination,1999
mandelbrot,baseline,2720947
mandelbrot,dead_store_elimination,2720947
leibniz,baseline,12499997
leibniz,dead_store_elimination,12499997
sqrt,baseline,322
sqrt,dead_store_elimination,322
euler,baseline,1908
euler,dead_store_elimination,1908
riemann,baseline,298
riemann,dead_store_elimination,298
birthday,baseline,484
birthday,dead_store_elimination,484
fact,baseline,229
fact,dead_store_elimination,229
is-decreasing,baseline,127
is-decreasing,dead_store_elimination,127
hanoi,baseline,99
hanoi,dead_store_elimination,99
binary-fmt,baseline,100
binary-fmt,dead_store_elimination,100
digital-root,baseline,247
digital-root,dead_store_elimination,247
perfect,baseline,232
perfect,dead_store_elimination,232
collatz,baseline,169
collatz,dead_store_elimination,169
quadratic,baseline,785
quadratic,dead_store_elimination,785
recfact,baseline,104
recfact,dead_store_elimination,104
factors,baseline,72
factors,dead_store_elimination,72
rectangles-area-difference,baseline,14
rectangles-area-difference,dead_store_elimination,14
gcd,baseline,46
gcd,dead_store_elimination,46
euclid,baseline,563
euclid,dead_store_elimination,563
reverse,baseline,46
reverse,dead_store_elimination,46
sum-check,baseline,5018
sum-check,dead_store_elimination,5018
bitshift,baseline,167
bitshift,dead_store_elimination,167
armstrong,baseline,133
armstrong,dead_store_elimination,133
up-arrow,baseline,252
up-arrow,dead_store_elimination,252
check-primes,baseline,8468
check-primes,dead_store_elimination,8468
sum-sq-diff,baseline,3038
sum-sq-diff,dead_store_elimination,3038
fitsinside,baseline,10
fitsinside,dead_store_elimination,10
catalan,baseline,659378
catalan,dead_store_elimination,659378
orders,baseline,5352
orders,dead_store_elimination,5352
primes-between,baseline,574100
primes-between,dead_store_elimination,574100
sum-divisors,baseline,159
sum-divisors,dead_store_elimination,159
mod_inv,baseline,558
mod_inv,dead_store_elimination,558
pascals-row,baseline,146
pascals-row,dead_store_elimination,146
lcm,baseline,2326
lcm,dead_store_elimination,2326
palindrome,baseline,298
palindrome,dead_store_elimination,298
sum-bits,baseline,73
sum-bits,dead_store_elimination,73
pythagorean_triple,baseline,61518
pythagorean_triple,dead_store_elimination,61518
ackermann,baseline,1464231
ackermann,dead_store_elimination,1464231
relative-primes,baseline,1923
relative-primes,dead_store_elimination,1923
totient,baseline,253
totient,dead_store_elimination,253
fizz-buzz,baseline,3652
fizz-buzz,dead_store_elimination,3652
bitwise-ops,baseline,1690
bitwise-ops,dead_store_elimination,1690
loopfact,baseline,116
loopfact,dead_store_elimination,116
